epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
4,17622,12378,14333,6594,2726,6347
9,18479,11521,15248,6318,2564,5870
14,19362,10638,15736,6192,2476,5596
19,20043,9957,16085,6087,2372,5456
24,20532,9468,16377,6075,2254,5294
29,20913,9087,16610,6054,2218,5118
34,21326,8674,16758,6021,2180,5041
39,21586,8414,16982,6001,2071,4946
44,21939,8061,17129,6048,2028,4795
49,22140,7860,17272,6039,2023,4666
54,22394,7606,17361,6014,1964,4661
59,22660,7340,17523,6012,1935,4530
64,22850,7150,17629,5987,1884,4500
69,22973,7027,17714,6027,1848,4411
74,23089,6911,17776,6015,1817,4392
79,23173,6827,17900,6047,1745,4308
84,23272,6728,17913,6068,1769,4250
89,23448,6552,18038,6034,1724,4204
94,23611,6389,18074,6088,1713,4125
99,23718,6282,18203,6018,1651,4128
104,23750,6250,18183,6090,1695,4032
109,24058,5942,18314,6071,1591,4024
114,23882,6118,18374,6114,1589,3923
119,24095,5905,18393,6072,1579,3956
124,24135,5865,18460,6070,1531,3939
129,24222,5778,18511,6114,1562,3813
134,24326,5674,18572,6047,1498,3883
139,24322,5678,18600,6085,1467,3848
144,24491,5509,18668,6139,1465,3728
149,24464,5536,18707,6105,1432,3756
154,24577,5423,18746,6120,1434,3700
159,24600,5400,18793,6127,1376,3704
164,24700,5300,18777,6132,1366,3725
169,24800,5200,18819,6199,1337,3645
174,24788,5212,18862,6237,1298,3603
179,24826,5174,18871,6231,1350,3548
184,24876,5124,19006,6221,1267,3506
189,24893,5107,18953,6250,1295,3502
194,24978,5022,19006,6210,1272,3512
199,24956,5044,18997,6227,1244,3532
204,25008,4992,19069,6262,1232,3437
209,25070,4930,19097,6228,1229,3446
214,25155,4845,19138,6261,1190,3411
219,25083,4917,19113,6301,1211,3375
224,25250,4750,19136,6324,1170,3370
229,25197,4803,19151,6339,1191,3319
234,25275,4725,19213,6333,1174,3280
239,25287,4713,19188,6368,1145,3299
244,25371,4629,19196,6373,1154,3277
249,25338,4662,19207,6328,1178,3287
254,25443,4557,19225,6350,1162,3263
259,25476,4524,19331,6348,1065,3256
264,25558,4442,19293,6374,1108,3225
269,25498,4502,19293,6380,1103,3224
274,25500,4500,19330,6417,1096,3157
279,25481,4519,19296,6368,1123,3213
284,25607,4393,19334,6422,1104,3140
289,25617,4383,19396,6453,1056,3095
294,25641,4359,19390,6365,1095,3150
299,25611,4389,19317,6442,1093,3148
