,init_a,init_b,init_c,loss_sim,loss_altmin_focus_first,loss_altmin_classify_first,test_acc_sim,test_acc_altmin_focus_first,test_acc_altmin_classify_first
0,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, -0.1]",0.001,0.004,0.004,100.0,99.8,99.8
1,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.0]",0.001,0.004,0.004,100.0,99.8,99.8
2,"[-0.1, -0.1]","[[-0.1, -0.1], [-0.1, -0.1], [-0.1, -0.1]]","[-0.1, -0.1, 0.1]",0.001,0.004,0.004,100.0,99.8,99.8
3,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, -0.1]",0.001,0.003,0.003,100.0,100.0,100.0
4,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.0]",0.001,0.004,0.004,100.0,100.0,100.0
5,"[-0.1, 0.0]","[[-0.1, 0.0], [-0.1, 0.0], [-0.1, 0.0]]","[-0.1, 0.0, 0.1]",0.001,0.004,0.004,100.0,100.0,100.0
6,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, -0.1]",0.001,0.004,0.003,100.0,99.8,99.8
7,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.0]",0.001,0.003,0.003,100.0,99.8,99.8
8,"[-0.1, 0.1]","[[-0.1, 0.1], [-0.1, 0.1], [-0.1, 0.1]]","[-0.1, 0.1, 0.1]",0.001,0.003,0.003,100.0,99.8,99.8
9,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, -0.1]",0.001,0.004,0.004,100.0,99.8,99.8
10,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.0]",0.001,0.004,0.004,100.0,99.8,99.8
11,"[0.0, -0.1]","[[0.0, -0.1], [0.0, -0.1], [0.0, -0.1]]","[0.0, -0.1, 0.1]",0.001,0.004,0.004,100.0,99.8,99.8
12,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, -0.1]",0.001,0.004,0.004,100.0,99.8,99.8
13,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.0]",0.001,0.004,0.004,100.0,99.8,99.8
14,"[0.0, 0.0]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[0.0, 0.0, 0.1]",0.001,0.004,0.004,100.0,99.8,99.8
15,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, -0.1]",0.003,0.005,0.005,99.69999999999999,99.69999999999999,99.69999999999999
16,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, 0.0]",0.001,0.005,0.004,100.0,99.69999999999999,99.8
17,"[0.0, 0.1]","[[0.0, 0.1], [0.0, 0.1], [0.0, 0.1]]","[0.0, 0.1, 0.1]",0.001,0.004,0.004,100.0,99.8,99.8
18,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, -0.1]",0.001,0.003,0.003,100.0,100.0,100.0
19,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, 0.0]",0.001,0.003,0.003,100.0,100.0,100.0
20,"[0.1, -0.1]","[[0.1, -0.1], [0.1, -0.1], [0.1, -0.1]]","[0.1, -0.1, 0.1]",0.001,0.003,0.003,100.0,100.0,100.0
21,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, -0.1]",0.001,0.003,0.003,100.0,100.0,100.0
22,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, 0.0]",0.001,0.003,0.003,100.0,100.0,100.0
23,"[0.1, 0.0]","[[0.1, 0.0], [0.1, 0.0], [0.1, 0.0]]","[0.1, 0.0, 0.1]",0.001,0.003,0.003,100.0,100.0,100.0
24,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, -0.1]",0.001,0.004,0.004,100.0,99.8,99.8
25,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, 0.0]",0.001,0.004,0.004,100.0,99.8,99.8
26,"[0.1, 0.1]","[[0.1, 0.1], [0.1, 0.1], [0.1, 0.1]]","[0.1, 0.1, 0.1]",0.001,0.004,0.004,100.0,99.8,99.8
